source,source_split,class,source_path,md5,original_mode,original_bands
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/6030.jpg,0ab08911f876d6ace5fed42114fab7bd,RGB,3
old,old_test,cats,/content/drive/MyDrive/HOCSAU/data/catdog/test_set/cats/cat.4694.jpg,444ebada114784d20409f07e1e572318,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.1672.jpg,baeea31eeb7dccc53ea6243ba1b1c740,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/12043.jpg,3efba40cca747fad6127de22503c6678,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/1632.jpg,15f379359b86fdcba6cf20c4980007ea,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/10144.jpg,1c8952e6d30d4f85aba9bf0fbabfde90,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/9276.jpg,afc4e775a87cf0f567245bb79b07d319,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/8743.jpg,24ccbbee2f170b2ff30ef02f0f844169,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/6111.jpg,df4aebaa0e16061c82239d781e7e04f0,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/2269.jpg,bff2fa31e1074a844ac13d697e6bb293,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/10814.jpg,508abcb02b865fd9e66321c0cb5f01fd,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.415.jpg,7b12de261ca0f8dd32e910e0f5c08c63,RGB,3
