,precision,recall,f1-score,support
Abyssinian,0.8181818181818182,0.9,0.8571428571428571,20.0
Bengal,1.0,0.65,0.7878787878787878,20.0
Birman,0.75,0.9,0.8181818181818182,20.0
Bombay,1.0,0.9,0.9473684210526315,20.0
British Shorthair,0.6923076923076923,0.9,0.782608695652174,20.0
Egyptian Mau,0.7391304347826086,0.85,0.7906976744186046,20.0
Maine Coon,0.8181818181818182,0.9,0.8571428571428571,20.0
Persian,0.9473684210526315,0.9,0.9230769230769231,20.0
Ragdoll,0.875,0.7,0.7777777777777778,20.0
Russian Blue,0.8823529411764706,0.75,0.8108108108108109,20.0
Siamese,0.8947368421052632,0.85,0.8717948717948718,20.0
Sphynx,1.0,0.95,0.9743589743589743,20.0
American Bulldog,0.7083333333333334,0.85,0.7727272727272727,20.0
American Pit Bull Terrier,0.6875,0.55,0.6111111111111112,20.0
Basset Hound,0.8181818181818182,0.9,0.8571428571428571,20.0
Beagle,0.85,0.85,0.85,20.0
Boxer,0.8181818181818182,0.9,0.8571428571428571,20.0
Chihuahua,0.8571428571428571,0.9,0.8780487804878049,20.0
English Cocker Spaniel,0.95,0.95,0.95,20.0
English Setter,0.8947368421052632,0.85,0.8717948717948718,20.0
German Shorthaired,0.9473684210526315,0.9,0.9230769230769231,20.0
Great Pyrenees,1.0,0.95,0.9743589743589743,20.0
Havanese,0.9523809523809523,1.0,0.975609756097561,20.0
Japanese Chin,0.9047619047619048,0.95,0.926829268292683,20.0
Keeshond,0.9090909090909091,1.0,0.9523809523809523,20.0
Leonberger,1.0,0.9,0.9473684210526315,20.0
Miniature Pinscher,0.7727272727272727,0.85,0.8095238095238095,20.0
Newfoundland,1.0,0.95,0.9743589743589743,20.0
Pomeranian,1.0,0.9,0.9473684210526315,20.0
Pug,1.0,0.9,0.9473684210526315,20.0
Saint Bernard,0.9473684210526315,0.9,0.9230769230769231,20.0
Samoyed,0.8333333333333334,1.0,0.9090909090909091,20.0
Scottish Terrier,0.9523809523809523,1.0,0.975609756097561,20.0
Shiba Inu,0.8947368421052632,0.85,0.8717948717948718,20.0
Staffordshire Bull Terrier,0.6842105263157895,0.6842105263157895,0.6842105263157895,19.0
Wheaten Terrier,1.0,1.0,1.0,20.0
Yorkshire Terrier,1.0,0.9,0.9473684210526315,20.0
accuracy,0.8795669824086604,0.8795669824086604,0.8795669824086604,0.8795669824086604
macro avg,0.8864782749171632,0.8793029871977243,0.8793568526587116,739.0
weighted avg,0.8867519795837413,0.8795669824086604,0.8796209207593106,739.0
